 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
2425,20.062,13.953,17.016,13.520,14.048,21.334,24.254,25.401,24.800,22.475,33.294,33.449,29.769,24.468,25.193,24.989,23.913,21.930,33.501,23.404,25.066,21.510
2426,20.059,13.897,17.040,13.501,14.099,21.335,24.261,25.393,24.829,22.481,33.349,33.459,29.756,24.484,25.227,24.985,23.931,21.936,33.488,23.404,25.085,21.515
2427,20.052,13.926,17.035,13.488,14.078,21.306,24.236,25.374,24.819,22.487,33.353,33.486,29.770,24.472,25.229,25.001,23.943,21.911,33.460,23.380,25.071,21.515
2428,20.040,13.911,17.036,13.499,14.054,21.328,24.250,25.416,24.850,22.469,33.321,33.451,29.759,24.470,25.225,25.003,23.960,21.934,33.426,23.353,25.078,21.513
2429,20.082,13.935,17.040,13.518,14.119,21.335,24.278,25.385,24.880,22.521,33.366,33.503,29.798,24.490,25.234,25.055,23.982,21.953,33.541,23.423,25.109,21.538
2430,20.044,13.918,16.968,13.490,14.046,21.317,24.229,25.373,24.867,22.441,33.276,33.410,29.739,24.435,25.213,24.964,23.912,21.904,33.469,23.352,25.023,21.491
2431,20.020,13.885,16.988,13.519,14.083,21.331,24.240,25.398,24.819,22.485,33.337,33.450,29.715,24.440,25.214,24.991,23.911,21.921,33.471,23.360,25.072,21.493
2432,20.037,13.896,16.994,13.515,14.073,21.319,24.253,25.371,24.856,22.455,33.331,33.431,29.723,24.459,25.195,24.966,23.960,21.910,33.435,23.397,25.070,21.501
2433,20.045,13.905,17.011,13.474,14.083,21.353,24.241,25.393,24.817,22.421,33.290,33.446,29.756,24.456,25.213,24.966,23.918,21.893,33.470,23.363,25.060,21.505
2434,20.030,13.915,16.973,13.488,14.067,21.296,24.242,25.373,24.831,22.419,33.322,33.455,29.723,24.458,25.205,24.964,23.954,21.888,33.426,23.376,25.048,21.491
2435,20.022,13.883,16.944,13.496,14.052,21.263,24.218,25.353,24.792,22.432,33.265,33.412,29.719,24.435,25.194,24.980,23.921,21.893,33.368,23.378,25.053,21.480
2436,20.046,13.895,16.938,13.477,14.051,21.293,24.229,25.361,24.816,22.453,33.317,33.471,29.733,24.440,25.198,24.960,23.891,21.897,33.436,23.363,25.047,21.485
